"Hormones.SL","Hormones.BRC1_2","Hormones.CK","Hormones.Aux_Shoot","Hormones.ABA","Hormones.Bud_release","Hormones.PAT_Bud","Hormones.Aux_Bud","Hormones.SUC","Hormones.Sustained_growth","Hormones.GA","Hormones.Decap_signal","Hormones.CXE","Hormones.SMXL6_7_8","Hormones.FHY3_FAR1","Hormones.SPL9_15","Hormones.SMXL6_7_8_Transcription","Hormones.Low_R_FR","Hormones.MAX2","Hormones.D14","Hormones.Perception_SL","Hormones.D27","Hormones.MAX3","Hormones.MAX4","Hormones.MAX1","Hormones.LBO","Hormones.CLAMT","Hormones.PhyB","Hormones.High_R_FR","Hormones.PIFs","Hormones.HB21_40_53","Hormones.NCED3","Gene.name","Gene.kind","Gene.SL_n","Gene.BRC1_2_n","Gene.CK_n","Gene.Aux_n","Gene.ABA_n","Gene.PIN_1_3_4_7_n","Gene.Aux_Bud_n","Gene.SUC_n","Gene.GA_n","Gene.Decap_signal_n","Gene.CXE_n","Gene.SMXL6_7_8_n","Gene.FHY3_FAR1_n","Gene.SPL9_15_n","Gene.MAX2_n","Gene.D14_n","Gene.D27_n","Gene.MAX3_n","Gene.MAX4_n","Gene.MAX1_n","Gene.LBO_n","Gene.CLAMT_n","Gene.PhyB_n","Gene.PIFs_n","Gene.HB21_40_53_n","Gene.NCED3_n","Gene.Perception_SL","Gene.SUC_band"
1,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"WT_SUC_0.1","WT",1,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.2,0.5,1,1,0.476190476190476,0.833333333333333,1,0.5,0.529100529100529,1,1,1,1,1,1,1,1,1.14285714285714,1,1,1,1,1,1,1,1,1,1,1,1,1,"WT_SUC_0.5","WT",1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"low"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"WT_SUC_1.0","WT",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"normal"
1.15313890261987,0.847008896624035,1.54285714285714,1,0.847002495972788,1.64744282596666,1.18095238095238,1,1.5,1.31795654439443,1,1,1,1.04673812053525,1,0.988450421266927,0.977164581992039,1,0.888888888888889,1,0.888888888888889,1,1.05882352941176,1.0890756302521,1.15313890261987,1.15313890261987,1.15313890261987,1,1,1,0.847008896624035,0.847002495972788,"WT_SUC_1.5","WT",1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"high"
1.29954515919428,0.732315777056146,2.10526315789474,1,0.732304909473627,2.36979052965486,1.36842105263158,1,2,1.57986530865448,1,1,1,1.08776480940081,1,0.978529877942347,0.957962310215391,1,0.8,1,0.8,1,1.11111111111111,1.16959064327485,1.29954515919428,1.29954515919428,1.29954515919428,1,1,1,0.732315777056146,0.732304909473627,"WT_SUC_2.0","WT",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very high"
0,1.30769275602208,0.133333333333333,1,1,0.108333322058375,0.711111111111111,1,0.1,0.1400673599809,1,1,1,1.73205128205128,1,0.845299376862639,0.732050680431722,1,1.29032258064516,1,0,1,2,2.66666666666667,5.33333333333333,5.33333333333333,5.33333333333333,1,1,1,1,1,"mutant_SL_n","single_mutant",0,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
2,1.42857142857143,0.1,1,1,0.0903225806451613,0.7,1,0.1,0.114956011730205,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_SL_n","single_overexpression",2,1,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,0,0.1,1,0,0.2,0.7,1,0.1,0.254545454545455,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,0,0,"mutant_BRC1_2_n","single_mutant",1,0,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,2.85714285714286,0.1,1,1,0.0682926829268293,0.7,1,0.1,0.0869179600886918,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"overexpression_BRC1_2_n","single_overexpression",1,2,1,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
1,1.46341463414634,0,1,1,0.0448087431693989,0.666666666666667,1,0.1,0.0543136280841199,1,1,1,1,1,1,1,1,1.29032258064516,1,1,1,1,1,1,1,1,1,1,1,1,1,"mutant_CK_n","single_mutant",1,1,0,1,1,1,1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"very low"
